Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
29,Pakistan,Azad Jammu and Kashmir,2020-06-14,647,13,254,647,13,254,0.4126738794435858,0.04868913857677903,0.951310861423221,267,
30,Pakistan,Azad Jammu and Kashmir,2020-06-19,803,17,317,536,4,63,0.125,0.05970149253731343,0.9402985074626866,67,-0.011012353960534349
31,Pakistan,Azad Jammu and Kashmir,2020-06-24,930,25,390,596,8,73,0.13590604026845637,0.09876543209876543,0.9012345679012346,81,-0.039063939561452043
32,Pakistan,Azad Jammu and Kashmir,2020-06-29,1065,28,539,650,3,149,0.23384615384615384,0.019736842105263157,0.9802631578947368,152,0.07902858999350226
33,Pakistan,Azad Jammu and Kashmir,2020-07-04,1214,34,686,647,6,147,0.23647604327666152,0.0392156862745098,0.9607843137254902,153,-0.019478844169246612
34,Pakistan,Azad Jammu and Kashmir,2020-07-09,1485,41,860,765,7,174,0.23660130718954248,0.03867403314917127,0.9613259668508287,181,0.0005416531253384926
35,Pakistan,Azad Jammu and Kashmir,2020-07-14,1688,46,1049,787,5,189,0.24650571791613723,0.02577319587628866,0.9742268041237113,194,0.012900837272882604
36,Pakistan,Azad Jammu and Kashmir,2020-07-19,1915,47,1201,820,1,152,0.18658536585365854,0.006535947712418301,0.9934640522875817,153,0.019237248163870402
37,Pakistan,Azad Jammu and Kashmir,2020-07-24,2012,49,1409,764,2,208,0.27486910994764396,0.009523809523809525,0.9904761904761905,210,-0.0029878618113912125
38,Pakistan,Azad Jammu and Kashmir,2020-07-29,2055,50,1543,597,1,134,0.22613065326633167,0.007407407407407408,0.9925925925925926,135,0.002116402116402072
39,Pakistan,Azad Jammu and Kashmir,2020-08-03,2097,54,1731,504,4,188,0.38095238095238093,0.020833333333333332,0.9791666666666666,192,-0.013425925925925952
40,Pakistan,Azad Jammu and Kashmir,2020-08-08,2129,58,1883,344,4,152,0.45348837209302323,0.02564102564102564,0.9743589743589743,156,-0.004807692307692291
41,Pakistan,Azad Jammu and Kashmir,2020-08-13,2164,59,1971,223,1,88,0.3991031390134529,0.011235955056179775,0.9887640449438202,89,0.014405070584845858
42,Pakistan,Azad Jammu and Kashmir,2020-08-18,2199,61,2002,169,2,31,0.1952662721893491,0.06060606060606061,0.9393939393939394,33,-0.04937010554988075
43,Pakistan,Azad Jammu and Kashmir,2020-08-23,2254,61,2070,191,0,68,0.35602094240837695,0.0,1.0,68,0.06060606060606055
44,Pakistan,Azad Jammu and Kashmir,2020-08-28,2277,61,2102,146,0,32,0.2191780821917808,0.0,1.0,32,0.0
45,Pakistan,Azad Jammu and Kashmir,2020-09-02,2305,64,2150,142,3,48,0.3591549295774648,0.058823529411764705,0.9411764705882353,51,-0.05882352941176472
46,Pakistan,Azad Jammu and Kashmir,2020-09-07,2333,65,2178,119,1,28,0.24369747899159663,0.034482758620689655,0.9655172413793104,29,0.024340770791075106
47,Pakistan,Azad Jammu and Kashmir,2020-09-12,2400,65,2212,157,0,34,0.21656050955414013,0.0,1.0,34,0.03448275862068961
48,Pakistan,Azad Jammu and Kashmir,2020-09-17,2472,66,2235,195,1,23,0.12307692307692308,0.041666666666666664,0.9583333333333334,24,-0.04166666666666663
49,Pakistan,Azad Jammu and Kashmir,2020-09-22,2566,70,2282,265,4,47,0.19245283018867926,0.0784313725490196,0.9215686274509803,51,-0.03676470588235303
50,Pakistan,Azad Jammu and Kashmir,2020-09-27,2661,71,2322,309,1,40,0.13268608414239483,0.024390243902439025,0.975609756097561,41,0.054041128646580616
51,Pakistan,Azad Jammu and Kashmir,2020-10-02,2776,75,2395,383,4,73,0.2010443864229765,0.05194805194805195,0.948051948051948,77,-0.02755780804561292
52,Pakistan,Azad Jammu and Kashmir,2020-10-07,2937,77,2453,467,2,58,0.1284796573875803,0.03333333333333333,0.9666666666666667,60,0.01861471861471864
53,Pakistan,Azad Jammu and Kashmir,2020-10-12,3131,78,2556,601,1,103,0.17304492512479203,0.009615384615384616,0.9903846153846154,104,0.023717948717948745
54,Pakistan,Azad Jammu and Kashmir,2020-10-17,3437,81,2594,803,3,38,0.05105853051058531,0.07317073170731707,0.926829268292683,41,-0.06355534709193245
55,Pakistan,Azad Jammu and Kashmir,2020-10-22,3688,85,2835,1013,4,241,0.2418558736426456,0.0163265306122449,0.9836734693877551,245,0.056844201095072155
56,Pakistan,Azad Jammu and Kashmir,2020-10-27,3889,87,3045,969,2,210,0.21878224974200206,0.009433962264150943,0.9905660377358491,212,0.00689256834809393
57,Pakistan,Azad Jammu and Kashmir,2020-11-01,4237,95,3360,1105,8,315,0.2923076923076923,0.02476780185758514,0.9752321981424149,323,-0.015333839593434151
58,Pakistan,Azad Jammu and Kashmir,2020-11-06,4652,107,3576,1197,12,216,0.19047619047619047,0.05263157894736842,0.9473684210526315,228,-0.02786377708978338
59,Pakistan,Azad Jammu and Kashmir,2020-11-11,5041,116,3759,1358,9,183,0.14138438880706922,0.046875,0.953125,192,0.005756578947368474
60,Pakistan,Azad Jammu and Kashmir,2020-11-16,5538,126,4076,1663,10,317,0.19663259170174383,0.03058103975535168,0.9694189602446484,327,0.016293960244648353
61,Pakistan,Azad Jammu and Kashmir,2020-11-21,6000,140,4410,1798,14,334,0.1935483870967742,0.040229885057471264,0.9597701149425287,348,-0.009648845302119624
62,Pakistan,Azad Jammu and Kashmir,2020-11-26,6501,155,4886,1951,15,476,0.25166581240389546,0.03054989816700611,0.9694501018329938,491,0.00967998689046512
