Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
27,Russia,Kirov Oblast,2020-06-04,1967,17,1076,1967,17,1076,0.5556685307574988,0.01555352241537054,0.9844464775846294,1093,
28,Russia,Kirov Oblast,2020-06-09,2300,20,1218,1207,3,142,0.12013256006628004,0.020689655172413793,0.9793103448275862,145,-0.005136132757043277
29,Russia,Kirov Oblast,2020-06-14,2547,26,1617,1309,6,399,0.3093964858670741,0.014814814814814815,0.9851851851851852,405,0.005874840357598998
30,Russia,Kirov Oblast,2020-06-19,2777,30,2006,1134,4,389,0.34656084656084657,0.010178117048346057,0.989821882951654,393,0.0046366977664688
31,Russia,Kirov Oblast,2020-06-24,2986,33,2236,950,3,230,0.24526315789473685,0.012875536480686695,0.9871244635193133,233,-0.0026974194323406975
32,Russia,Kirov Oblast,2020-06-29,3179,35,2485,910,2,249,0.27582417582417584,0.00796812749003984,0.9920318725099602,251,0.0049074089906469
33,Russia,Kirov Oblast,2020-07-04,3354,41,2804,834,6,319,0.38968824940047964,0.018461538461538463,0.9815384615384616,325,-0.010493410971498585
34,Russia,Kirov Oblast,2020-07-09,3614,42,3172,769,1,368,0.4798439531859558,0.0027100271002710027,0.997289972899729,369,0.0157515113612674
35,Russia,Kirov Oblast,2020-07-14,3877,47,3414,663,5,242,0.37254901960784315,0.020242914979757085,0.979757085020243,247,-0.017532887879486037
36,Russia,Kirov Oblast,2020-07-19,4142,52,3845,681,5,431,0.6402349486049926,0.011467889908256881,0.9885321100917431,436,0.008775025071500187
37,Russia,Kirov Oblast,2020-07-24,4404,59,4284,507,7,439,0.8796844181459567,0.01569506726457399,0.984304932735426,446,-0.004227177356317169
38,Russia,Kirov Oblast,2020-07-29,4665,68,4432,322,9,148,0.48757763975155277,0.05732484076433121,0.9426751592356688,157,-0.04162977349975716
39,Russia,Kirov Oblast,2020-08-03,4952,73,4482,452,5,50,0.12168141592920353,0.09090909090909091,0.9090909090909091,55,-0.03358425014475974
40,Russia,Kirov Oblast,2020-08-08,5213,78,4539,658,5,57,0.09422492401215805,0.08064516129032258,0.9193548387096774,62,0.01026392961876832
41,Russia,Kirov Oblast,2020-08-13,5463,83,4588,846,5,49,0.06382978723404255,0.09259259259259259,0.9074074074074074,54,-0.01194743130226994
42,Russia,Kirov Oblast,2020-08-18,5745,88,4657,1074,5,69,0.06890130353817504,0.06756756756756757,0.9324324324324325,74,0.025025025025025016
43,Russia,Kirov Oblast,2020-08-23,6047,93,4834,1302,5,177,0.13978494623655913,0.027472527472527472,0.9725274725274725,182,0.04009504009504006
44,Russia,Kirov Oblast,2020-08-28,6361,98,5047,1434,5,213,0.15202231520223153,0.022935779816513763,0.9770642201834863,218,0.004536747656013751
45,Russia,Kirov Oblast,2020-09-02,6683,98,5078,1538,0,31,0.020156046814044214,0.0,1.0,31,0.022935779816513735
46,Russia,Kirov Oblast,2020-09-07,7002,98,5172,1826,0,94,0.05147864184008762,0.0,1.0,94,0.0
47,Russia,Kirov Oblast,2020-09-12,7321,106,5314,2051,8,142,0.07313505607020965,0.05333333333333334,0.9466666666666667,150,-0.053333333333333344
48,Russia,Kirov Oblast,2020-09-17,7634,116,5460,2214,10,146,0.07046070460704607,0.0641025641025641,0.9358974358974359,156,-0.010769230769230753
49,Russia,Kirov Oblast,2020-09-22,7974,123,5545,2398,7,85,0.03836530442035029,0.07608695652173914,0.9239130434782609,92,-0.011984392419175038
50,Russia,Kirov Oblast,2020-09-27,8302,128,5652,2634,5,107,0.0425208807896735,0.044642857142857144,0.9553571428571429,112,0.03144409937888204
51,Russia,Kirov Oblast,2020-10-02,8668,133,5782,2888,5,130,0.046745152354570635,0.037037037037037035,0.9629629629629629,135,0.007605820105820005
52,Russia,Kirov Oblast,2020-10-07,9064,138,5890,3149,5,108,0.03588440774849158,0.04424778761061947,0.9557522123893806,113,-0.007210750573582336
53,Russia,Kirov Oblast,2020-10-12,9493,147,6025,3465,9,135,0.04155844155844156,0.0625,0.9375,144,-0.018252212389380573
54,Russia,Kirov Oblast,2020-10-17,10000,153,6344,3828,6,319,0.0849007314524556,0.018461538461538463,0.9815384615384616,325,0.04403846153846158
55,Russia,Kirov Oblast,2020-10-22,10604,158,6569,4107,5,225,0.05600194789383978,0.021739130434782608,0.9782608695652174,230,-0.003277591973244176
56,Russia,Kirov Oblast,2020-10-27,11315,163,6818,4588,5,249,0.05536181342632956,0.01968503937007874,0.9803149606299213,254,0.002054091064703889
57,Russia,Kirov Oblast,2020-11-01,12078,169,7197,5097,6,379,0.07553462821267412,0.015584415584415584,0.9844155844155844,385,0.004100623785663116
58,Russia,Kirov Oblast,2020-11-06,12951,174,7631,5585,5,434,0.07860340196956132,0.011389521640091117,0.9886104783599089,439,0.004194893944324485
59,Russia,Kirov Oblast,2020-11-11,13888,179,8053,6083,5,422,0.07019562715765247,0.0117096018735363,0.9882903981264637,427,-0.000320080233445208
60,Russia,Kirov Oblast,2020-11-16,14876,184,8408,6644,5,355,0.054184226369656835,0.013888888888888888,0.9861111111111112,360,-0.0021792870153525268
61,Russia,Kirov Oblast,2020-11-21,15942,188,9023,7350,4,615,0.08421768707482993,0.006462035541195477,0.9935379644588045,619,0.00742685334769333
