Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
27,Russia,North Ossetia - Alania Republic,2020-06-04,3151,57,2536,3151,57,2536,0.8229133608378293,0.021982259930582337,0.9780177400694177,2593,
28,Russia,North Ossetia - Alania Republic,2020-06-09,3364,57,3121,771,0,585,0.7587548638132295,0.0,1.0,585,0.021982259930582337
29,Russia,North Ossetia - Alania Republic,2020-06-14,3547,66,3212,369,9,91,0.27100271002710025,0.09,0.91,100,-0.08999999999999997
30,Russia,North Ossetia - Alania Republic,2020-06-19,3706,66,3312,428,0,100,0.2336448598130841,0.0,1.0,100,0.08999999999999997
31,Russia,North Ossetia - Alania Republic,2020-06-24,3854,66,3412,476,0,100,0.21008403361344538,0.0,1.0,100,0.0
32,Russia,North Ossetia - Alania Republic,2020-06-29,3984,67,3505,506,1,93,0.1857707509881423,0.010638297872340425,0.9893617021276596,94,-0.010638297872340385
33,Russia,North Ossetia - Alania Republic,2020-07-04,4092,67,3567,520,0,62,0.11923076923076924,0.0,1.0,62,0.010638297872340385
34,Russia,North Ossetia - Alania Republic,2020-07-09,4193,67,3618,559,0,51,0.09123434704830054,0.0,1.0,51,0.0
35,Russia,North Ossetia - Alania Republic,2020-07-14,4271,67,3718,586,0,100,0.17064846416382254,0.0,1.0,100,0.0
36,Russia,North Ossetia - Alania Republic,2020-07-19,4353,67,3746,568,0,28,0.04929577464788732,0.0,1.0,28,0.0
37,Russia,North Ossetia - Alania Republic,2020-07-24,4431,67,3784,618,0,38,0.061488673139158574,0.0,1.0,38,0.0
38,Russia,North Ossetia - Alania Republic,2020-07-29,4517,67,3990,666,0,206,0.30930930930930933,0.0,1.0,206,0.0
39,Russia,North Ossetia - Alania Republic,2020-08-03,4578,67,4106,521,0,116,0.22264875239923224,0.0,1.0,116,0.0
40,Russia,North Ossetia - Alania Republic,2020-08-08,4618,67,4153,445,0,47,0.10561797752808989,0.0,1.0,47,0.0
41,Russia,North Ossetia - Alania Republic,2020-08-13,4650,67,4237,430,0,84,0.19534883720930232,0.0,1.0,84,0.0
42,Russia,North Ossetia - Alania Republic,2020-08-18,4700,67,4292,396,0,55,0.1388888888888889,0.0,1.0,55,0.0
43,Russia,North Ossetia - Alania Republic,2020-08-23,4771,67,4322,412,0,30,0.07281553398058252,0.0,1.0,30,0.0
44,Russia,North Ossetia - Alania Republic,2020-08-28,4860,67,4365,471,0,43,0.09129511677282377,0.0,1.0,43,0.0
45,Russia,North Ossetia - Alania Republic,2020-09-02,4966,67,4453,534,0,88,0.1647940074906367,0.0,1.0,88,0.0
46,Russia,North Ossetia - Alania Republic,2020-09-07,5087,67,4498,567,0,45,0.07936507936507936,0.0,1.0,45,0.0
47,Russia,North Ossetia - Alania Republic,2020-09-12,5220,68,4543,655,1,45,0.07022900763358779,0.021739130434782608,0.9782608695652174,46,-0.021739130434782594
48,Russia,North Ossetia - Alania Republic,2020-09-17,5375,68,4580,764,0,37,0.04842931937172775,0.0,1.0,37,0.021739130434782594
49,Russia,North Ossetia - Alania Republic,2020-09-22,5541,68,4640,893,0,60,0.0671892497200448,0.0,1.0,60,0.0
50,Russia,North Ossetia - Alania Republic,2020-09-27,5715,69,4684,1007,1,44,0.044687189672293945,0.022222222222222223,0.9777777777777777,45,-0.022222222222222254
51,Russia,North Ossetia - Alania Republic,2020-10-02,5888,70,4793,1135,1,109,0.09691629955947137,0.00909090909090909,0.990909090909091,110,0.013131313131313216
52,Russia,North Ossetia - Alania Republic,2020-10-07,6067,70,4888,1204,0,95,0.07890365448504984,0.0,1.0,95,0.009090909090909038
53,Russia,North Ossetia - Alania Republic,2020-10-12,6259,70,4940,1301,0,52,0.03996925441967717,0.0,1.0,52,0.0
54,Russia,North Ossetia - Alania Republic,2020-10-17,6463,70,4993,1453,0,53,0.0364762560220234,0.0,1.0,53,0.0
55,Russia,North Ossetia - Alania Republic,2020-10-22,6701,70,5076,1638,0,83,0.05067155067155067,0.0,1.0,83,0.0
56,Russia,North Ossetia - Alania Republic,2020-10-27,6974,70,5150,1828,0,74,0.04048140043763676,0.0,1.0,74,0.0
57,Russia,North Ossetia - Alania Republic,2020-11-01,7279,70,5385,2059,0,235,0.11413307430791647,0.0,1.0,235,0.0
58,Russia,North Ossetia - Alania Republic,2020-11-06,7617,70,5486,2162,0,101,0.04671600370027752,0.0,1.0,101,0.0
59,Russia,North Ossetia - Alania Republic,2020-11-11,7964,72,5750,2408,2,264,0.11046511627906977,0.007518796992481203,0.9924812030075187,266,-0.007518796992481258
60,Russia,North Ossetia - Alania Republic,2020-11-16,8318,72,6087,2496,0,337,0.13501602564102563,0.0,1.0,337,0.007518796992481258
61,Russia,North Ossetia - Alania Republic,2020-11-21,8679,73,6569,2520,1,482,0.19166666666666668,0.002070393374741201,0.9979296066252588,483,-0.0020703933747412417
62,Russia,North Ossetia - Alania Republic,2020-11-26,9053,76,7021,2411,3,452,0.18871837411862297,0.006593406593406593,0.9934065934065934,455,-0.004523013218665328
63,Russia,North Ossetia - Alania Republic,2020-12-01,9444,76,7561,2347,0,540,0.23008095440988496,0.0,1.0,540,0.00659340659340657
64,Russia,North Ossetia - Alania Republic,2020-12-06,9847,79,8202,2210,3,641,0.2914027149321267,0.004658385093167702,0.9953416149068323,644,-0.004658385093167738
65,Russia,North Ossetia - Alania Republic,2020-12-11,10262,81,8843,1981,2,641,0.32458354366481573,0.003110419906687403,0.9968895800933126,643,0.0015479651864803712
66,Russia,North Ossetia - Alania Republic,2020-12-16,10691,81,9478,1767,0,635,0.3593661573288059,0.0,1.0,635,0.0031104199066873672
67,Russia,North Ossetia - Alania Republic,2020-12-21,11131,85,9884,1572,4,406,0.2608142493638677,0.00975609756097561,0.9902439024390244,410,-0.009756097560975618
68,Russia,North Ossetia - Alania Republic,2020-12-26,11573,93,10265,1604,8,381,0.24251870324189526,0.02056555269922879,0.9794344473007712,389,-0.010809455138253155
69,Russia,North Ossetia - Alania Republic,2020-12-31,12010,101,10619,1652,8,354,0.21912832929782083,0.022099447513812154,0.9779005524861878,362,-0.0015338948145834364
70,Russia,North Ossetia - Alania Republic,2021-01-05,12436,101,11027,1716,0,408,0.23776223776223776,0.0,1.0,408,0.02209944751381221
71,Russia,North Ossetia - Alania Republic,2021-01-10,12849,101,11414,1721,0,387,0.22486926205694363,0.0,1.0,387,0.0
72,Russia,North Ossetia - Alania Republic,2021-01-15,13260,105,11786,1745,4,372,0.2154727793696275,0.010638297872340425,0.9893617021276596,376,-0.010638297872340385
73,Russia,North Ossetia - Alania Republic,2021-01-20,13666,105,12143,1775,0,357,0.20112676056338027,0.0,1.0,357,0.010638297872340385
74,Russia,North Ossetia - Alania Republic,2021-01-25,14043,110,12503,1795,5,360,0.20334261838440112,0.0136986301369863,0.9863013698630136,365,-0.013698630136986356
75,Russia,North Ossetia - Alania Republic,2021-01-30,14381,118,12838,1768,8,335,0.19400452488687783,0.023323615160349854,0.9766763848396501,343,-0.009624985023363508
76,Russia,North Ossetia - Alania Republic,2021-02-04,14686,124,13138,1730,6,300,0.176878612716763,0.0196078431372549,0.9803921568627451,306,0.003715772023094921
77,Russia,North Ossetia - Alania Republic,2021-02-09,14956,134,13441,1694,10,303,0.1847697756788666,0.03194888178913738,0.9680511182108626,313,-0.012341038651882408
78,Russia,North Ossetia - Alania Republic,2021-02-14,15194,142,13707,1619,8,266,0.1692402717726992,0.029197080291970802,0.9708029197080292,274,0.002751801497166584
79,Russia,North Ossetia - Alania Republic,2021-02-19,15401,147,13924,1552,5,217,0.14304123711340205,0.02252252252252252,0.9774774774774775,222,0.006674557769448253
80,Russia,North Ossetia - Alania Republic,2021-02-24,15583,147,14122,1512,0,198,0.13095238095238096,0.0,1.0,198,0.022522522522522515
81,Russia,North Ossetia - Alania Republic,2021-03-01,15733,155,14297,1464,8,175,0.125,0.04371584699453552,0.9562841530054644,183,-0.04371584699453557
82,Russia,North Ossetia - Alania Republic,2021-03-06,15864,157,14512,1412,2,215,0.1536827195467422,0.009216589861751152,0.9907834101382489,217,0.034499257132784455
83,Russia,North Ossetia - Alania Republic,2021-03-11,15986,157,14692,1317,0,180,0.1366742596810934,0.0,1.0,180,0.009216589861751112
84,Russia,North Ossetia - Alania Republic,2021-03-16,16088,157,14850,1239,0,158,0.1275221953188055,0.0,1.0,158,0.0
85,Russia,North Ossetia - Alania Republic,2021-03-21,16176,157,15048,1169,0,198,0.16937553464499572,0.0,1.0,198,0.0
86,Russia,North Ossetia - Alania Republic,2021-03-26,16256,159,15230,1051,2,182,0.17507136060894388,0.010869565217391304,0.9891304347826086,184,-0.010869565217391353
87,Russia,North Ossetia - Alania Republic,2021-03-31,16339,161,15361,950,2,131,0.14,0.015037593984962405,0.9849624060150376,133,-0.0041680287675710526
88,Russia,North Ossetia - Alania Republic,2021-04-01,16354,161,15386,832,0,25,0.030048076923076924,0.0,1.0,25,0.015037593984962405
