Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
23,Spain,Extremadura,2020-05-15,2933,494,2587,2933,494,2587,1.0504602795772247,0.16033755274261605,0.8396624472573839,3081,
24,Spain,Extremadura,2020-05-20,3040,504,0,-41,10,-2587,62.853658536585364,-0.0038804811796662787,1.0038804811796662,-2577,0.1642180339222823
25,Spain,Extremadura,2020-05-25,2952,506,0,2448,2,0,0.0008169934640522876,1.0,0.0,2,-1.0038804811796662
26,Spain,Extremadura,2020-05-30,2964,508,2652,2458,2,2652,1.079739625711961,0.0007535795026375283,0.9992464204973625,2654,0.9992464204973625
27,Spain,Extremadura,2020-06-04,2973,508,2652,-187,0,0,-0.0,,,0,
28,Spain,Extremadura,2020-06-09,2978,508,2652,-182,0,0,-0.0,,,0,
29,Spain,Extremadura,2020-06-14,2987,508,2652,-173,0,0,-0.0,,,0,
30,Spain,Extremadura,2020-06-19,3000,519,2652,-160,11,0,-0.06875,1.0,0.0,11,
31,Spain,Extremadura,2020-06-24,3017,519,2652,-154,0,0,-0.0,,,0,
32,Spain,Extremadura,2020-06-29,3027,519,2652,-144,0,0,-0.0,,,0,
33,Spain,Extremadura,2020-07-04,3047,519,2652,-124,0,0,-0.0,,,0,
34,Spain,Extremadura,2020-07-09,3082,519,2652,-89,0,0,-0.0,,,0,
35,Spain,Extremadura,2020-07-14,3202,519,2652,31,0,0,0.0,,,0,
36,Spain,Extremadura,2020-07-19,3243,519,2652,72,0,0,0.0,,,0,
37,Spain,Extremadura,2020-07-24,3302,519,2652,131,0,0,0.0,,,0,
38,Spain,Extremadura,2020-07-29,3345,519,2652,174,0,0,0.0,,,0,
39,Spain,Extremadura,2020-08-03,3447,520,2652,276,1,0,0.0036231884057971015,1.0,0.0,1,
40,Spain,Extremadura,2020-08-08,3542,521,2652,370,1,0,0.002702702702702703,1.0,0.0,1,0.0
41,Spain,Extremadura,2020-08-13,3722,522,2652,549,1,0,0.0018214936247723133,1.0,0.0,1,0.0
42,Spain,Extremadura,2020-08-18,3933,523,2652,759,1,0,0.0013175230566534915,1.0,0.0,1,0.0
43,Spain,Extremadura,2020-08-23,4194,524,2652,1019,1,0,0.0009813542688910696,1.0,0.0,1,0.0
44,Spain,Extremadura,2020-08-28,4698,526,2652,1522,2,0,0.001314060446780552,1.0,0.0,2,0.0
45,Spain,Extremadura,2020-09-02,5273,529,2652,2095,3,0,0.001431980906921241,1.0,0.0,3,0.0
46,Spain,Extremadura,2020-09-07,6031,533,2652,2850,4,0,0.0014035087719298245,1.0,0.0,4,0.0
47,Spain,Extremadura,2020-09-12,6643,538,2652,3458,5,0,0.0014459224985540775,1.0,0.0,5,0.0
48,Spain,Extremadura,2020-09-17,7883,540,2652,4693,2,0,0.0004261666311527807,1.0,0.0,2,0.0
49,Spain,Extremadura,2020-09-22,9149,550,2652,5957,10,0,0.0016786973308712439,1.0,0.0,10,0.0
50,Spain,Extremadura,2020-09-27,9890,564,2652,6688,14,0,0.0020933014354066986,1.0,0.0,14,0.0
51,Spain,Extremadura,2020-10-02,11014,590,2652,7798,26,0,0.003334188253398307,1.0,0.0,26,0.0
52,Spain,Extremadura,2020-10-07,11839,617,2652,8597,27,0,0.0031406304524834246,1.0,0.0,27,0.0
53,Spain,Extremadura,2020-10-12,12856,630,2652,9587,13,0,0.0013560029206216753,1.0,0.0,13,0.0
54,Spain,Extremadura,2020-10-17,13863,646,2652,10581,16,0,0.001512144409791135,1.0,0.0,16,0.0
55,Spain,Extremadura,2020-10-22,15648,670,2652,12350,24,0,0.0019433198380566803,1.0,0.0,24,0.0
56,Spain,Extremadura,2020-10-27,17715,697,2652,14393,27,0,0.0018759119016188426,1.0,0.0,27,0.0
57,Spain,Extremadura,2020-11-01,19307,714,2652,15958,17,0,0.0010652964030580274,1.0,0.0,17,0.0
58,Spain,Extremadura,2020-11-06,22804,770,2652,19438,56,0,0.0028809548307439036,1.0,0.0,56,0.0
59,Spain,Extremadura,2020-11-11,24649,805,2652,21227,35,0,0.0016488434540914872,1.0,0.0,35,0.0
60,Spain,Extremadura,2020-11-16,26066,838,2652,22609,33,0,0.0014595957362112434,1.0,0.0,33,0.0
61,Spain,Extremadura,2020-11-21,27155,874,2652,23665,36,0,0.001521233889710543,1.0,0.0,36,0.0
62,Spain,Extremadura,2020-11-26,28289,915,2652,24763,41,0,0.0016556959980616242,1.0,0.0,41,0.0
63,Spain,Extremadura,2020-12-01,28986,952,2652,25419,37,0,0.001455604075691412,1.0,0.0,37,0.0
64,Spain,Extremadura,2020-12-06,29461,971,2652,25857,19,0,0.0007348106895618208,1.0,0.0,19,0.0
65,Spain,Extremadura,2020-12-11,30106,996,2652,26483,25,0,0.00094400181248348,1.0,0.0,25,0.0
66,Spain,Extremadura,2020-12-16,30634,1020,2652,26986,24,0,0.0008893500333506262,1.0,0.0,24,0.0
67,Spain,Extremadura,2020-12-21,32786,1034,2652,29114,14,0,0.0004808683107783197,1.0,0.0,14,0.0
