Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
17,US,Missouri,2020-04-15,4876,154,,4876,154,,,,,,
18,US,Missouri,2020-04-20,5953,210,,,56,,,,,,
19,US,Missouri,2020-04-25,7013,279,,,69,,,,,,
20,US,Missouri,2020-04-30,7953,351,0,,72,,,,,,
21,US,Missouri,2020-05-05,9204,412,,8853,61,,,,,,
22,US,Missouri,2020-05-10,10078,505,,,93,,,,,,
23,US,Missouri,2020-05-15,10821,586,,,81,,,,,,
24,US,Missouri,2020-05-20,11562,645,,,59,,,,,,
25,US,Missouri,2020-05-25,12456,694,,,49,,,,,,
26,US,Missouri,2020-05-30,13298,782,,,88,,,,,,
27,US,Missouri,2020-06-04,14443,803,,,21,,,,,,
28,US,Missouri,2020-06-09,15325,853,,,50,,,,,,
29,US,Missouri,2020-06-14,16257,893,,,40,,,,,,
30,US,Missouri,2020-06-19,17711,968,,,75,,,,,,
31,US,Missouri,2020-06-24,19557,995,,,27,,,,,,
32,US,Missouri,2020-06-29,21206,1014,,,19,,,,,,
33,US,Missouri,2020-07-04,24147,1061,,,47,,,,,,
34,US,Missouri,2020-07-09,27195,1084,,,23,,,,,,
35,US,Missouri,2020-07-14,30173,1125,,,41,,,,,,
36,US,Missouri,2020-07-19,34462,1148,,,23,,,,,,
37,US,Missouri,2020-07-24,40662,1208,,,60,,,,,,
38,US,Missouri,2020-07-29,47986,1252,,,44,,,,,,
39,US,Missouri,2020-08-03,54226,1293,,,41,,,,,,
40,US,Missouri,2020-08-08,58964,1347,,,54,,,,,,
41,US,Missouri,2020-08-13,65517,1376,,,29,,,,,,
42,US,Missouri,2020-08-18,71209,1446,,,70,,,,,,
43,US,Missouri,2020-08-23,77035,1474,,,28,,,,,,
44,US,Missouri,2020-08-28,83194,1522,,,48,,,,,,
45,US,Missouri,2020-09-02,89861,1602,,,80,,,,,,
46,US,Missouri,2020-09-07,97233,1713,,,111,,,,,,
47,US,Missouri,2020-09-12,104531,1754,,,41,,,,,,
48,US,Missouri,2020-09-17,112179,1811,,,57,,,,,,
49,US,Missouri,2020-09-22,119776,1896,,,85,,,,,,
50,US,Missouri,2020-09-27,128440,2082,,,186,,,,,,
51,US,Missouri,2020-10-02,134887,2175,,,93,,,,,,
52,US,Missouri,2020-10-07,141729,2254,,,79,,,,,,
53,US,Missouri,2020-10-12,150759,2437,,,183,,,,,,
54,US,Missouri,2020-10-17,162266,2595,,,158,,,,,,
55,US,Missouri,2020-10-22,170873,2686,,,91,,,,,,
56,US,Missouri,2020-10-27,181494,2874,,,188,,,,,,
57,US,Missouri,2020-11-01,195735,3056,,,182,,,,,,
58,US,Missouri,2020-11-06,213061,3161,,,105,,,,,,
59,US,Missouri,2020-11-11,234519,3347,,,186,,,,,,
60,US,Missouri,2020-11-16,259949,3424,,,77,,,,,,
61,US,Missouri,2020-11-21,285862,3597,,,173,,,,,,
62,US,Missouri,2020-11-26,308081,3864,,,267,,,,,,
63,US,Missouri,2020-12-01,325759,4055,,,191,,,,,,
64,US,Missouri,2020-12-06,348317,4313,,,258,,,,,,
65,US,Missouri,2020-12-11,366833,4580,,,267,,,,,,
66,US,Missouri,2020-12-16,389118,4929,,,349,,,,,,
67,US,Missouri,2020-12-21,407876,5117,,,188,,,,,,
68,US,Missouri,2020-12-26,422423,5500,,,383,,,,,,
69,US,Missouri,2020-12-31,440756,5724,,,224,,,,,,
70,US,Missouri,2021-01-05,458230,5987,,,263,,,,,,
71,US,Missouri,2021-01-10,480558,6180,,,193,,,,,,
72,US,Missouri,2021-01-15,497037,6492,,,312,,,,,,
73,US,Missouri,2021-01-20,508632,6742,,,250,,,,,,
74,US,Missouri,2021-01-25,520479,6855,,,113,,,,,,
75,US,Missouri,2021-01-30,531550,7070,,,215,,,,,,
76,US,Missouri,2021-02-04,540007,7441,,,371,,,,,,
77,US,Missouri,2021-02-09,546253,7485,,,44,,,,,,
78,US,Missouri,2021-02-14,551526,7782,,,297,,,,,,
79,US,Missouri,2021-02-19,555909,8048,,,266,,,,,,
80,US,Missouri,2021-02-24,560327,8223,,,175,,,,,,
81,US,Missouri,2021-03-01,563489,8283,,,60,,,,,,
82,US,Missouri,2021-03-06,566841,8512,,,229,,,,,,
83,US,Missouri,2021-03-11,568918,8647,,,135,,,,,,
84,US,Missouri,2021-03-16,572074,8694,,,47,,,,,,
85,US,Missouri,2021-03-21,575253,8718,,,24,,,,,,
86,US,Missouri,2021-03-22,575562,8719,,,1,,,,,,
