Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
17,US,Ohio,2020-04-15,7794,469,,7794,469,,,,,,
18,US,Ohio,2020-04-20,12919,659,,,190,,,,,,
19,US,Ohio,2020-04-25,15587,858,,,199,,,,,,
20,US,Ohio,2020-04-30,18027,1080,0,,222,,,,,,
21,US,Ohio,2020-05-05,20969,1281,,19889,201,,,,,,
22,US,Ohio,2020-05-10,24081,1476,,,195,,,,,,
23,US,Ohio,2020-05-15,26954,1650,,,174,,,,,,
24,US,Ohio,2020-05-20,29436,1820,,,170,,,,,,
25,US,Ohio,2020-05-25,32477,1986,,,166,,,,,,
26,US,Ohio,2020-05-30,35033,2100,,,114,,,,,,
27,US,Ohio,2020-06-04,37282,2232,,,132,,,,,,
28,US,Ohio,2020-06-09,39162,2313,,,81,,,,,,
29,US,Ohio,2020-06-14,41148,2404,,,91,,,,,,
30,US,Ohio,2020-06-19,43731,2469,,,65,,,,,,
31,US,Ohio,2020-06-24,46759,2521,,,52,,,,,,
32,US,Ohio,2020-06-29,51046,2590,,,69,,,,,,
33,US,Ohio,2020-07-04,56183,2649,39903,,59,,,,,,
34,US,Ohio,2020-07-09,61331,2724,42111,18779,75,2208,0.12157196868842857,0.0328515111695138,0.9671484888304862,2283,
35,US,Ohio,2020-07-14,67995,2801,46282,23160,77,4171,0.18341968911917098,0.018126177024482108,0.9818738229755178,4248,0.014725334145031632
36,US,Ohio,2020-07-19,74932,2901,51086,25849,100,4804,0.1897172037603002,0.020391517128874388,0.9796084828711256,4904,-0.002265340104392277
37,US,Ohio,2020-07-24,81746,3016,56823,27759,115,5737,0.2108145106091718,0.0196514012303486,0.9803485987696514,5852,0.0007401158985258505
38,US,Ohio,2020-07-29,87893,3154,62695,28054,138,5872,0.21422969986454696,0.022961730449251247,0.9770382695507488,6010,-0.003310329218902619
39,US,Ohio,2020-08-03,93963,3260,69501,28114,106,6806,0.24585615707476702,0.015335648148148149,0.9846643518518519,6912,0.007626082301103065
40,US,Ohio,2020-08-08,99969,3369,77429,27208,109,7928,0.295391061452514,0.01356227448052756,0.9864377255194724,8037,0.001773373667620537
41,US,Ohio,2020-08-13,105426,3490,83642,24628,121,6213,0.25718694169238265,0.019103252289232712,0.9808967477107673,6334,-0.005540977808705105
42,US,Ohio,2020-08-18,109910,3594,89068,22778,104,5426,0.2427781192378611,0.018806509945750453,0.9811934900542495,5530,0.00029674234348220363
43,US,Ohio,2020-08-23,114802,3726,94825,22140,132,5757,0.26598915989159894,0.022414671421293938,0.9775853285787061,5889,-0.0036081614755434366
44,US,Ohio,2020-08-28,120124,3844,100127,21573,118,5302,0.25123997589579566,0.021771217712177122,0.9782287822878228,5420,0.0006434537091167813
45,US,Ohio,2020-09-02,125767,3958,105065,21796,114,4938,0.2317856487428886,0.022565320665083134,0.9774346793349169,5052,-0.0007941029529059396
46,US,Ohio,2020-09-07,131336,4052,108578,22313,94,3513,0.1616546407923632,0.026060438037149986,0.97393956196285,3607,-0.0034951173720668693
47,US,Ohio,2020-09-12,136568,4155,114066,23938,103,5488,0.23356170106107443,0.018422464675371134,0.9815775353246289,5591,0.007637973361778849
48,US,Ohio,2020-09-17,141585,4235,119690,23364,80,5624,0.24413627803458313,0.014025245441795231,0.9859747545582047,5704,0.004397219233575833
49,US,Ohio,2020-09-22,145850,4314,124774,21925,79,5084,0.23548460661345497,0.015301181483633547,0.9846988185163664,5163,-0.0012759360418382881
50,US,Ohio,2020-09-27,150809,4407,130193,21721,93,5419,0.2537636388748216,0.016872278664731497,0.9831277213352685,5512,-0.0015710971810979357
51,US,Ohio,2020-10-02,156809,4495,135301,22209,88,5108,0.2339592057274078,0.016936104695919937,0.9830638953040801,5196,-6.382603118837427e-05
52,US,Ohio,2020-10-07,162723,4588,139831,22927,93,4530,0.20163998778732498,0.020116807268007787,0.9798831927319922,4623,-0.0031807025720879123
53,US,Ohio,2020-10-12,170179,4702,143826,25760,114,3995,0.1595108695652174,0.027743976636651253,0.9722560233633487,4109,-0.007627169368643494
54,US,Ohio,2020-10-17,180225,4827,149351,31697,125,5525,0.17825030760008834,0.022123893805309734,0.9778761061946902,5650,0.005620082831341522
